1,,,,,
226,,l,t^,,(p t^ q) & (eJc) & (nt+e~Jc) & (eb^dJc) & (db^(rJc) & (s~Jc) & (tJc) & (uJc))
227,,l,v+,,(p v+ q) & (eJc) & (nt+e~Jc) & (eb^dJc) & (db^(rJc) & (s~Jc) & (tJc) & (u~Jc))
228,,l,x^,,(p x^ q) & (eJc) & (nt+e~Jc) & (eb^dJc) & (db^(rJc) & (s~Jc) & (t~Jc) & (uJc))
229,,l,i^,,postponed
230,,l,nf^,,postponed
231,,l,ed^,,(p ed^ q) & (eJc) & (nt+e~Jc) & (eb^dJc) & (db^(r~Jc) & (sJc) & (tJc) & (u~Jc))
232,,lc,because,,"(because b, c) x^ (b & (b i^ c))"
233,,,.,,
234,,,.,,Connective Synonyms
235,,,.,,
236,,rs,entails ,,(entails = i^)
237,,lb,hence,,(hence = i^)
238,1,ra,is,=,
239,,l,is|b,,(is|b = b^)
240,,,is|b,,e.g. p is|b Dogs exist.
241,,r,is|i ,,(is|i = x^)
242,,,is|i ,,"e.g. ""To be is|i to be the value of a variable"" reduces to something exists iff something is the value of a variable and is|i is synonymous with iff."
243,,rs,mean|e ,,(mean|e = x^)
244,,rs,means|s ,,(means|s = =)
245,,rs,means|t ,,(means|t = i^)
246,,lb,not follow,,(not follow = nf^)
247,,lc,since,,(since = because)
248,,lb,so,,(so = i^)
249,,r,synonymous with ,,(synonymous with==)
250,,,synonymous with ,,e.g. red is synonymous with crimson.
251,,r,synonymous|p with,,(synonymous|p with=x^)
252,,,synonymous|p with,,e.g. The phrase There are dogs is synonymous with dogs exist.
253,,lb,then,,(then = i^)
254,,lb,then|a,,(then|a = t^)
255,,lb,therefore,,(therefore = i^)
256,,lb,thus,,(thus = i^)
257,,,.,,
258,,,.,,Miscellaneous Words
259,,,.,,
260,,y,that|c,,(it J p that|c q) x^ (qJp)
261,,,that|c,,e.g. It is true that|c there are dogs iff 'there are dogs' is true.
262,,na,that|n,,(that|n = this|n)
263,,,that|n,,e.g. that|n was what I saw. (here 'that' functions as a noun)
264,,u,that|o,,hard coded
265,,us,that|s,,(that|s = which)
